"Child's name","Full name","SP reviewed (excl Scopes)","Comments/ Typos","Practice Area","GIC Industry","GIC Industry Group","Boilerplate Term?","COP26 Net Zero Chapter","Timeline Main Phase","Timeline Sub-Phase","NZ Scopes Field","Biodiversity","Just Transition","F - Corp Gov","F - Contract Emissions","F - Organisation emissions","F - Reporting & Disclosures","F - Corporate Mechanisms","F - Incentives, Enforcement, Disputes","F - Other environmental function","F - Just Transition","F - Resilience & Adaptation","F - Biodiversity"
"Agatha's Clause","Termination for Greener Supplier","Yes","Cross refer to Annie's clause","Commercial,Supply Chains","Universal","Universal","Yes","Law & Legal Structures","Breach / Termination ,Performance ","Supply Chain,Breach / Termination ,Supply Chain - Boilerplate ","Scope 2,Scope 3",,,,"Reducing contract emissions,Continuous reduction of contract emissions ","Commitment to specific standards/ targets","Report on contract emissions,""Reporting to contract parties or related third parties (investors, shareholders, insurers) "",""Measuring, reducing, reporting Scope 2 emissions "",""Measuring, reducing, reporting Scope 3 emissions """,,"Termination right,Dispute resolution frameworks and processes",,"Query impact/ Adverse",,
"Alex’s Clause","Circular Economy Product Design Obligation","Yes",,"Commercial,""IP, IT, TMT, Life Sciences, Data Protection & Information Law"",Supply Chains","Energy ,Industrials,Consumer Discretionary,Consumer Staples,Healthcare,Information Technology,Utilities,Materials","Energy ,Materials ,Capital Goods,Transportation ,Automobiles & Components ,Consumer Durables & Apparel,Retailing ,Food Staples Retailing ,""Food, Beverages & Tobacco"",Household & Personal Products,Healthcare Equipment & Services,""Pharmaceuticals, Biotechnology & Life Sciences "",Software & Services,Technology Hardware & Equipment,Semiconductors & Semiconductor Equipment,Utilities,Universal","No","""Industry (including Heavy Industry, Retail & FMCG, ICT & Media)"",Law & Legal Structures ","Performance","Supply Chain,""Energy, Infrastructure & Transport "",""Real Estate, Construction & Development""","Scope 1,Scope 2,Scope 3",,,,,,,,,,,,
"Alice’s Clause","Reduction of CO2 from Single Use Plastic","Yes","Drafting for all CO2 emitting products","Commercial,Public Sector (including Public Law & Local Government),Supply Chains","Industrials,Materials","Materials ,Capital Goods","No","Law & Legal Structures ,""Industry (including Heavy Industry, Retail & FMCG, ICT & Media)""","Performance","Supply Chain",,,,,,,,,,,,,
"Annie's Clause","Carbon Termination (Short Form)","Yes","Cross refer to Agatha's clause","Commercial,Supply Chains","Universal","Universal","Yes","Law & Legal Structures","Performance","Supply Chain - Boilerplate ,Supply Chain",,,,,,,,,,,,,
"Archie’s Clause","Premium Adjustment for D&O Climate-related Financial Disclosures","Yes",,"Insurance","Financials","Insurance","No","""Finance, Accounting & Tax"",Resilience (Mitigation & Adaptation) ","Pre-Contract","Risk & Insurance",,,,,,,,,,,,,
"Arlo’s Clause","ESG Aligned Company Articlesx","Yes",,"Corporate ","Universal","Universal","No","Law & Legal Structures","Pre-Contract","Corporate Governance",,,"Just Transition",,,,,,,,,,
"Austen’s Clause","Sustainability Clauses in Supply Chain Contracts","Yes",,"Commercial,Supply Chains","Universal","Universal","No","Law & Legal Structures","Procurement ,Performance ","Supply Chain",,,,,,,,,,,,,
"Bella’s Clause","Management Equity Ratchet Terms","Yes",,"""Finance, Financial Services & Capital Markets"",Corporate ,Employment (including Share Schemes & Incentives & Pensions)","Financials ,Industrials","Diversified Financials ,Commercial & Professional Services","No","Law & Legal Structures ,""Finance, Accounting & Tax""","Pre-Contract","Corporate Governance","Scope 1,Scope 2,Scope 3",,,,,,,,,,,,
"Callum & Theo’s Clause","Climate Standard Transaction Terms","Yes",,"Corporate ,""Finance, Financial Services & Capital Markets""","Financials","Diversified Financials","No","""Human Settlements, Buildings and Infrastructure"",""Finance, Accounting & Tax""","Pre-Contract","Financing & Investment","Scope 1,Scope 2,Scope 3",,,,,,,,,,,,
"Casper’s Clause","Sustainability-Linked Loans","Yes",,"""Finance, Financial Services & Capital Markets""","Financials","Diversified Financials","No","""Finance, Accounting & Tax""","Pre-Contract","Financing & Investment",,,,,,,,,,,,,
"Chloe’s Clause","Environmental Business Charter","Yes",,"Commercial,Employment (including Share Schemes & Incentives & Pensions),Corporate ","Universal,Industrials","Universal,Commercial & Professional Services","No","Law & Legal Structures","Pre-Contract","Corporate Governance","Scope 1,Scope 3",,"Just Transition",,,,,,,,,,
"Connor’s Clause","Exclusions from insurance coverage for climate harms","Yes",,"Insurance","Financials","Insurance","No","""Finance, Accounting & Tax"",Resilience (Mitigation & Adaptation) ","Pre-Contract","Risk & Insurance","Scope 1,Scope 2,Scope 3",,"Just Transition",,,,,,,,,,
